Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Filialsuche,Safari 11,,2018-03-22 18:26:59,2018-03-22 18:50:19,"23m - 20,495s",FAILED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/01_Testfall,Safari 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-22 18:27:00,2018-03-22 18:27:22,"22,351s",PASSED
openBrowser,Safari 11,,2018-03-22 18:27:00,2018-03-22 18:27:14,"13,446s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:27:14,2018-03-22 18:27:14,"0,070s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:27:14,2018-03-22 18:27:14,"0,082s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:27:14,2018-03-22 18:27:16,"1,779s",PASSED
delay,Safari 11,,2018-03-22 18:27:16,2018-03-22 18:27:21,"5,072s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Safari 11,,2018-03-22 18:27:21,2018-03-22 18:27:21,"0,092s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Safari 11,,2018-03-22 18:27:21,2018-03-22 18:27:22,"1,098s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:27:22,2018-03-22 18:27:22,"0,152s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/02_Testfall,Safari 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-22 18:27:22,2018-03-22 18:27:31,"9,325s",PASSED
openBrowser,Safari 11,,2018-03-22 18:27:22,2018-03-22 18:27:25,"2,408s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:27:25,2018-03-22 18:27:25,"0,007s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:27:25,2018-03-22 18:27:25,"0,020s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:27:25,2018-03-22 18:27:26,"1,412s",PASSED
delay,Safari 11,,2018-03-22 18:27:26,2018-03-22 18:27:31,"5,004s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Safari 11,,2018-03-22 18:27:31,2018-03-22 18:27:31,"0,053s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Safari 11,,2018-03-22 18:27:31,2018-03-22 18:27:31,"0,035s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:27:31,2018-03-22 18:27:31,"0,076s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/03_Testfall,Safari 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-22 18:27:31,2018-03-22 18:27:40,"8,876s",PASSED
openBrowser,Safari 11,,2018-03-22 18:27:32,2018-03-22 18:27:34,"2,056s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:27:34,2018-03-22 18:27:34,"0,007s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:27:34,2018-03-22 18:27:34,"0,027s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:27:34,2018-03-22 18:27:35,"1,178s",PASSED
delay,Safari 11,,2018-03-22 18:27:35,2018-03-22 18:27:40,"5,038s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Safari 11,,2018-03-22 18:27:40,2018-03-22 18:27:40,"0,040s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Safari 11,,2018-03-22 18:27:40,2018-03-22 18:27:40,"0,174s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:27:40,2018-03-22 18:27:40,"0,071s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/04_Testfall,Safari 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-22 18:27:40,2018-03-22 18:27:49,"9,169s",PASSED
openBrowser,Safari 11,,2018-03-22 18:27:40,2018-03-22 18:27:43,"2,158s",PASSED
