Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Filialsuche_20_03,Safari 11,,2018-03-20 19:41:54,2018-03-20 20:03:35,"21m - 41,738s",FAILED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/01_Testfall,Safari 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-20 19:41:55,2018-03-20 19:42:27,"32,591s",PASSED
openBrowser,Safari 11,,2018-03-20 19:41:55,2018-03-20 19:42:12,"16,827s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 19:42:12,2018-03-20 19:42:12,"0,064s",PASSED
maximizeWindow,Safari 11,,2018-03-20 19:42:12,2018-03-20 19:42:12,"0,084s",PASSED
navigateToUrl,Safari 11,,2018-03-20 19:42:12,2018-03-20 19:42:20,"7,293s",PASSED
delay,Safari 11,,2018-03-20 19:42:20,2018-03-20 19:42:25,"5,064s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Safari 11,,2018-03-20 19:42:25,2018-03-20 19:42:26,"1,525s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Safari 11,,2018-03-20 19:42:26,2018-03-20 19:42:27,"0,926s",PASSED
closeBrowser,Safari 11,,2018-03-20 19:42:27,2018-03-20 19:42:27,"0,224s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/02_Testfall,Safari 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-20 19:42:27,2018-03-20 19:42:47,"19,223s",PASSED
openBrowser,Safari 11,,2018-03-20 19:42:28,2018-03-20 19:42:30,"2,273s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 19:42:30,2018-03-20 19:42:30,"0,007s",PASSED
maximizeWindow,Safari 11,,2018-03-20 19:42:30,2018-03-20 19:42:30,"0,028s",PASSED
navigateToUrl,Safari 11,,2018-03-20 19:42:30,2018-03-20 19:42:36,"6,322s",PASSED
delay,Safari 11,,2018-03-20 19:42:36,2018-03-20 19:42:41,"5,007s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Safari 11,,2018-03-20 19:42:41,2018-03-20 19:42:47,"5,196s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Safari 11,,2018-03-20 19:42:47,2018-03-20 19:42:47,"0,001s",PASSED
closeBrowser,Safari 11,,2018-03-20 19:42:47,2018-03-20 19:42:47,"0,067s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/03_Testfall,Safari 11,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-20 19:42:47,2018-03-20 19:43:04,"17,408s",PASSED
openBrowser,Safari 11,,2018-03-20 19:42:47,2018-03-20 19:42:49,"2,261s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 19:42:49,2018-03-20 19:42:49,"0,008s",PASSED
maximizeWindow,Safari 11,,2018-03-20 19:42:49,2018-03-20 19:42:49,"0,020s",PASSED
navigateToUrl,Safari 11,,2018-03-20 19:42:49,2018-03-20 19:42:59,"9,568s",PASSED
delay,Safari 11,,2018-03-20 19:42:59,2018-03-20 19:43:04,"5,005s",PASSED
