Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GAA,Safari 11,,2018-03-22 18:50:32,2018-03-22 18:53:01,"2m - 28,757s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/01_Testfall,Safari 11,Fehler:\nAkk=100\nGAA_Maps=99\n\n\nInitial: Die ersten 100 GAAs der Bank sind angezeigt\ncount=100,2018-03-22 18:50:33,2018-03-22 18:50:55,"22,058s",FAILED
openBrowser,Safari 11,,2018-03-22 18:50:33,2018-03-22 18:50:45,"11,509s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:50:45,2018-03-22 18:50:45,"0,073s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:50:45,2018-03-22 18:50:45,"0,054s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:50:45,2018-03-22 18:50:48,"3,043s",PASSED
delay,Safari 11,,2018-03-22 18:50:48,2018-03-22 18:50:53,"5,063s",PASSED
"Statement - wes1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(gaa_map), 5)",Safari 11,,2018-03-22 18:50:53,2018-03-22 18:50:54,"1,138s",PASSED
"Statement - wes2 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(loc_steet_filialsuche), 5)",Safari 11,,2018-03-22 18:50:54,2018-03-22 18:50:54,"0,111s",PASSED
Statement - filial_maps_count = wes1.size(),Safari 11,,2018-03-22 18:50:54,2018-03-22 18:50:54,"0,002s",PASSED
Statement - filial_accordeon_count = wes2.size(),Safari 11,,2018-03-22 18:50:54,2018-03-22 18:50:54,"0,002s",PASSED
Statement - filial_count = 100,Safari 11,,2018-03-22 18:50:54,2018-03-22 18:50:54,"0,001s",PASSED
Statement - If (filial_maps_count != filial_count),Safari 11,,2018-03-22 18:50:54,2018-03-22 18:50:55,"0,262s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/03_Testfall,Safari 11,initial: Alle Filial-Akk. sind zugeklappt,2018-03-22 18:50:55,2018-03-22 18:51:09,"14,576s",PASSED
openBrowser,Safari 11,,2018-03-22 18:50:55,2018-03-22 18:50:57,"2,134s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:50:57,2018-03-22 18:50:57,"0,024s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:50:57,2018-03-22 18:50:57,"0,008s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:50:57,2018-03-22 18:50:59,"1,565s",PASSED
delay,Safari 11,,2018-03-22 18:50:59,2018-03-22 18:51:04,"5,003s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-22 18:51:04,2018-03-22 18:51:09,"5,497s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:51:09,2018-03-22 18:51:09,"0,105s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/04_Testfall,Safari 11,Alle 100 Filialen (GAA-Icons) sind auf der Karte angezeigt,2018-03-22 18:51:09,2018-03-22 18:51:22,"13,037s",PASSED
openBrowser,Safari 11,,2018-03-22 18:51:10,2018-03-22 18:51:12,"2,098s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:51:12,2018-03-22 18:51:12,"0,007s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:51:12,2018-03-22 18:51:12,"0,028s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:51:12,2018-03-22 18:51:13,"1,556s",PASSED
delay,Safari 11,,2018-03-22 18:51:13,2018-03-22 18:51:21,"8,034s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(gaa_map), 5)",Safari 11,,2018-03-22 18:51:21,2018-03-22 18:51:21,"0,055s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Safari 11,,2018-03-22 18:51:21,2018-03-22 18:51:22,"0,873s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:51:22,2018-03-22 18:51:22,"0,080s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/05_Testfall,Safari 11,Entfernungsangabe wird nicht angezeigt,2018-03-22 18:51:22,2018-03-22 18:51:33,"10,661s",PASSED
openBrowser,Safari 11,,2018-03-22 18:51:23,2018-03-22 18:51:25,"2,412s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:51:25,2018-03-22 18:51:25,"0,020s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:51:25,2018-03-22 18:51:25,"0,007s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:51:25,2018-03-22 18:51:28,"2,589s",PASSED
delay,Safari 11,,2018-03-22 18:51:28,2018-03-22 18:51:33,"5,038s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-22 18:51:33,2018-03-22 18:51:33,"0,285s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:51:33,2018-03-22 18:51:33,"0,067s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/06_Testfall,Safari 11,"GAA-count=70 (Dropdown: Ergebnis bei Auswahl eines Ortes z.B. Berlin)\n\nAlle Filialen, bei denen im Feld \""City\"" dieser Ort steht, sind angezeigt (Akk. und Filial-Icons) ",2018-03-22 18:51:33,2018-03-22 18:51:48,"15,056s",FAILED
openBrowser,Safari 11,,2018-03-22 18:51:33,2018-03-22 18:51:36,"2,185s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:51:36,2018-03-22 18:51:36,"0,007s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:51:36,2018-03-22 18:51:36,"0,020s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:51:36,2018-03-22 18:51:38,"2,545s",PASSED
delay,Safari 11,,2018-03-22 18:51:38,2018-03-22 18:51:43,"5,023s",PASSED
click,Safari 11,,2018-03-22 18:51:43,2018-03-22 18:51:43,"0,082s",PASSED
delay,Safari 11,,2018-03-22 18:51:43,2018-03-22 18:51:45,"2,007s",PASSED
mouseOver,Safari 11,,2018-03-22 18:51:45,2018-03-22 18:51:46,"0,320s",PASSED
delay,Safari 11,,2018-03-22 18:51:46,2018-03-22 18:51:48,"2,002s",PASSED
click,Safari 11,,2018-03-22 18:51:48,2018-03-22 18:51:48,"0,498s",FAILED
,,,,,,
