Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GAA_20_03,Safari 11,,2018-03-20 20:03:49,2018-03-20 20:06:53,"3m - 4,560s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/01_Testfall,Safari 11,Fehler:\nAkk=100\nGAA_Maps=99\n\n\nInitial: Die ersten 100 GAAs der Bank sind angezeigt\ncount=100,2018-03-20 20:03:50,2018-03-20 20:04:08,"17,918s",FAILED
openBrowser,Safari 11,,2018-03-20 20:03:50,2018-03-20 20:04:00,"9,717s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 20:04:00,2018-03-20 20:04:00,"0,048s",PASSED
maximizeWindow,Safari 11,,2018-03-20 20:04:00,2018-03-20 20:04:00,"0,062s",PASSED
navigateToUrl,Safari 11,,2018-03-20 20:04:00,2018-03-20 20:04:02,"1,919s",PASSED
delay,Safari 11,,2018-03-20 20:04:02,2018-03-20 20:04:07,"5,103s",PASSED
"Statement - wes1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(gaa_map), 5)",Safari 11,,2018-03-20 20:04:07,2018-03-20 20:04:07,"0,156s",PASSED
"Statement - wes2 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(loc_steet_filialsuche), 5)",Safari 11,,2018-03-20 20:04:07,2018-03-20 20:04:07,"0,072s",PASSED
Statement - filial_maps_count = wes1.size(),Safari 11,,2018-03-20 20:04:07,2018-03-20 20:04:07,"0,002s",PASSED
Statement - filial_accordeon_count = wes2.size(),Safari 11,,2018-03-20 20:04:07,2018-03-20 20:04:07,"0,001s",PASSED
Statement - filial_count = 100,Safari 11,,2018-03-20 20:04:07,2018-03-20 20:04:07,"0,001s",PASSED
Statement - If (filial_maps_count != filial_count),Safari 11,,2018-03-20 20:04:07,2018-03-20 20:04:08,"0,222s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/03_Testfall,Safari 11,initial: Alle Filial-Akk. sind zugeklappt,2018-03-20 20:04:08,2018-03-20 20:04:24,"16,014s",PASSED
openBrowser,Safari 11,,2018-03-20 20:04:08,2018-03-20 20:04:10,"2,107s",PASSED
