Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prototyp Filialsuche (RC18) 13_03_2018,Chrome 64.0.3282.186,,2018-03-13 10:44:51,2018-03-13 11:03:48,"18m - 56,982s",FAILED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/01_Testfall,Chrome 64.0.3282.186,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-13 10:44:51,2018-03-13 10:45:30,"38,974s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:44:52,2018-03-13 10:45:03,"10,842s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:45:03,2018-03-13 10:45:06,"2,395s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-13 10:45:06,2018-03-13 10:45:07,"1,161s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-13 10:45:07,2018-03-13 10:45:21,"14,587s",PASSED
delay,Chrome 64.0.3282.186,,2018-03-13 10:45:21,2018-03-13 10:45:26,"5,019s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Chrome 64.0.3282.186,,2018-03-13 10:45:26,2018-03-13 10:45:27,"0,299s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Chrome 64.0.3282.186,,2018-03-13 10:45:27,2018-03-13 10:45:29,"2,137s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-13 10:45:29,2018-03-13 10:45:30,"1,150s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/02_Testfall,Chrome 64.0.3282.186,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-13 10:45:30,2018-03-13 10:45:43,"13,058s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:45:30,2018-03-13 10:45:32,"2,246s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:45:32,2018-03-13 10:45:34,"1,743s",PASSED
