Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prototyp GAA (RC18) 13_03_2018,Safari 11,,2018-03-20 09:35:04,2018-03-20 09:38:03,"2m - 58,893s",ERROR
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/01_Testfall,Safari 11,Fehler:\nAkk=100\nGAA_Maps=99\n\n\nInitial: Die ersten 100 GAAs der Bank sind angezeigt\ncount=100,2018-03-20 09:35:06,2018-03-20 09:35:50,"44,113s",ERROR
openBrowser,Safari 11,,2018-03-20 09:35:06,2018-03-20 09:35:36,"29,923s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 09:35:36,2018-03-20 09:35:36,"0,058s",PASSED
maximizeWindow,Safari 11,,2018-03-20 09:35:36,2018-03-20 09:35:37,"0,161s",PASSED
navigateToUrl,Safari 11,,2018-03-20 09:35:37,2018-03-20 09:35:39,"2,757s",PASSED
delay,Safari 11,,2018-03-20 09:35:39,2018-03-20 09:35:44,"5,105s",PASSED
"Statement - wes1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(gaa_map), 5)",Safari 11,,2018-03-20 09:35:44,2018-03-20 09:35:50,"5,308s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/03_Testfall,Safari 11,initial: Alle Filial-Akk. sind zugeklappt,2018-03-20 09:35:50,2018-03-20 09:35:50,"0,432s",FAILED
openBrowser,Safari 11,,2018-03-20 09:35:50,2018-03-20 09:35:50,"0,161s",FAILED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/04_Testfall,Safari 11,Alle 100 Filialen (GAA-Icons) sind auf der Karte angezeigt,2018-03-20 09:35:50,2018-03-20 09:36:04,"13,409s",PASSED
openBrowser,Safari 11,,2018-03-20 09:35:51,2018-03-20 09:35:53,"2,551s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 09:35:53,2018-03-20 09:35:53,"0,016s",PASSED
maximizeWindow,Safari 11,,2018-03-20 09:35:53,2018-03-20 09:35:53,"0,023s",PASSED
navigateToUrl,Safari 11,,2018-03-20 09:35:53,2018-03-20 09:35:54,"1,309s",PASSED
delay,Safari 11,,2018-03-20 09:35:54,2018-03-20 09:36:02,"8,022s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(gaa_map), 5)",Safari 11,,2018-03-20 09:36:02,2018-03-20 09:36:03,"0,080s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Safari 11,,2018-03-20 09:36:03,2018-03-20 09:36:04,"0,944s",PASSED
closeBrowser,Safari 11,,2018-03-20 09:36:04,2018-03-20 09:36:04,"0,109s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/05_Testfall,Safari 11,Entfernungsangabe wird nicht angezeigt,2018-03-20 09:36:04,2018-03-20 09:36:13,"9,099s",PASSED
openBrowser,Safari 11,,2018-03-20 09:36:04,2018-03-20 09:36:06,"2,143s",PASSED
maximizeWindow,Safari 11,,2018-03-20 09:36:06,2018-03-20 09:36:06,"0,020s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 09:36:06,2018-03-20 09:36:06,"0,007s",PASSED
